,name,res_type
0,The Coffee Maker,bakeries
1,Dr Diet,bakeries
2,Cheese Mads,bakeries
3,Aboullaban Sweets,bakeries
4,Il Mulino,bakeries
5,Beano's Cafe,bakeries
6,Mandarine Koueider,bakeries
7,Diet House,bakeries
8,Abo El Ezz El Soury,bakeries
9,NOLA Cupcakes,bakeries
10,DUKES,bakeries
11,Exception Patissiere,bakeries
12,TBS The Bakery Shop,bakeries
13,Auntie Anne's,bakeries
14,El Abd,bakeries
15,Il Mulino,coffee-time
16,Caribou Coffee,coffee-time
17,The Coffee Maker,coffee-time
18,Ted's,coffee-time
19,Gaby's,coffee-time
20,Nutopia,coffee-time
21,La Poire Cafe,coffee-time
22,Mori Sushi & Grill,coffee-time
23,House of Cocoa,coffee-time
24,dipndip,coffee-time
25,Wafflicious,coffee-time
26,Espresso Lab,coffee-time
27,TBS The Bakery Shop,coffee-time
28,Abu Auf,coffee-time
29,Beano's Cafe,coffee-time
30,Cilantro,coffee-time
31,Cinnabon Bakery Cafe,coffee-time
32,McDonald's,coffee-time
33,Abou El Sid,breakfast
34,Malmo,breakfast
35,Cheese Mads,breakfast
36,Caribou Coffee,breakfast
37,Al Rehan,breakfast
38,Espresso Lab,breakfast
39,Kinwa,breakfast
40,El Genany,breakfast
41,Sushi Way,breakfast
42,Gaby's,breakfast
43,Papai,breakfast
44,Ted's,breakfast
45,Paul,breakfast
46,Marlyn's,breakfast
47,Mandarine Koueider,breakfast
48,Zooba,breakfast
49,Costa Coffee,breakfast
50,La Poire Cafe,breakfast
51,Ne3ma,breakfast
52,Beano's Cafe,breakfast
53,Pastaweesy,breakfast
54,TBS The Bakery Shop,breakfast
55,Cinnabon Bakery Cafe,breakfast
56,Arabiata El Shabrawy,breakfast
57,Ibn AlSham,breakfast
58,Auntie Anne's,breakfast
59,GAD,breakfast
60,El Abd,breakfast
61,McDonald's,breakfast
62,Dr Diet,cupcakes
63,DUKES,cupcakes
64,El Abd,cupcakes
65,NOLA Cupcakes,cupcakes
66,Frumentum,snacks
67,Munch & Shake,snacks
68,Mandarine Koueider,snacks
69,Arby's,snacks
70,Arabiata El Shabrawy,snacks
71,TGI Friday's,snacks
72,Stomach,snacks
73,Daddy's Burger,snacks
74,dipndip,snacks
75,Burger King,snacks
76,Kukuruza Gourmet Popcorn,snacks
77,Batates & Zalabya,snacks
78,PEKING,snacks
79,McDonald's,snacks
80,Cilantro,donuts
81,NOLA Cupcakes,donuts
82,Nutopia,waffles
83,Waffle Maker,waffles
84,Best Way,waffles
85,Wafflicious,waffles
86,dipndip,waffles
87,Amo Hosny,desserts
88,El Balakona,desserts
89,Abou El Sid,desserts
90,Burger Box,desserts
91,Chicken Safeer,desserts
92,Shawerma Farouk,desserts
93,Palermo,desserts
94,Kinwa,desserts
95,Malmo,desserts
96,Red Elephant,desserts
97,Crusto Desserts,desserts
98,Express,desserts
99,Tree Top,desserts
100,Freddy's,desserts
101,Exception Patissiere,desserts
102,Espresso Lab,desserts
103,The Coffee Maker,desserts
104,Aziz,desserts
105,Dr Diet,desserts
106,Waffle Maker,desserts
107,La Poire Cafe,desserts
108,Zesty Waffles,desserts
109,Kebda w Kaboria Eskandarany,desserts
110,Nutopia,desserts
111,Baladena,desserts
112,Abu Auf,desserts
113,Lychee,desserts
114,Om Hassan,desserts
115,Ted's,desserts
116,Roastery,desserts
117,Costa Coffee,desserts
118,Chicken & Ribs,desserts
119,Mega Sandwiches,desserts
120,Zack's Fried Chicken,desserts
121,Fuddruckers,desserts
122,Estoda Cheese King,desserts
123,Wienerwald,desserts
124,Daddy's Burger,desserts
125,Legleisah,desserts
126,Skalans,desserts
127,Tom and Basal,desserts
128,Sale Sucre,desserts
129,La Pomme Pastries,desserts
130,Beano's Cafe,desserts
131,EL-Zaiem,desserts
132,Asian Corner,desserts
133,Gaby's,desserts
134,My El Qalioby,desserts
135,Chicken FilA,desserts
136,El Haty,desserts
137,Double D's Pizza,desserts
138,Crepeton,desserts
139,Sultana,desserts
140,Mori Sushi & Grill,desserts
141,Saber,desserts
142,Kukuruza Gourmet Popcorn,desserts
143,Elmalky,desserts
144,Abou Shakra,desserts
145,Best Way,desserts
146,Cook Door,desserts
147,Il Mulino,desserts
148,Auntie Anne's,desserts
149,Prego,desserts
150,DUKES,desserts
151,Batates & Zalabya,desserts
152,Ibn AlSham,desserts
153,Abo Mazen El Soury,desserts
154,Diet House,desserts
155,Cold Stone Creamery,desserts
156,Bazooka,desserts
157,PEKING,desserts
158,ElDahan,desserts
159,Majesty,desserts
160,Grand Kunafa,desserts
161,dipndip,desserts
162,Tseppas,desserts
163,Maharaja,desserts
164,Wafflicious,desserts
165,Koshary El Tahrir,desserts
166,Pastaweesy,desserts
167,NOLA Cupcakes,desserts
168,La Poire,desserts
169,House of Cocoa,desserts
170,Koshary Sayed Hanafy,desserts
171,Cinnabon Bakery Cafe,desserts
172,El Abd,desserts
173,Flame,salads
174,Chicken Safeer,salads
175,El Diwan,salads
176,Espresso Lab,salads
177,Palermo,salads
178,Zona Kitchen,salads
179,Malmo,salads
180,Armando Restaurant & Cafe,salads
181,Lahm and A'geen,salads
182,Mercato Italiano,salads
183,Kinwa,salads
184,Express,salads
185,Freddy's,salads
186,Farkha w Nos,salads
187,Welatain,salads
188,Haty El Ma'mon,salads
189,Aziz,salads
190,Alaska Sushi,salads
191,Marlyn's,salads
192,Sabai Sabai,salads
193,La Poire Cafe,salads
194,Shrimp House,salads
195,Gaby's,salads
196,Chicken & Ribs,salads
197,Butcher's Burger,salads
198,Om Hassan,salads
199,Country Hills,salads
200,Legleisah,salads
201,Ted's,salads
202,Il Mulino,salads
203,Mori Sushi & Grill,salads
204,Lychee,salads
205,Salad Fiesta,salads
206,Zooba,salads
207,Fuddruckers,salads
208,Sushi Way,salads
209,Roastery,salads
210,Paul,salads
211,Anas Chicken,salads
212,Kanary,salads
213,Diet House,salads
214,TGI Friday's,salads
215,Asian Corner,salads
216,Abou Shakra,salads
217,Garnell Sushi & Poke,salads
218,Cilantro,salads
219,Beano's Cafe,salads
220,Mega Sandwiches,salads
221,Ibn AlSham,salads
222,Pastaweesy,salads
223,Arabiata El Shabrawy,salads
224,Cook Door,salads
225,Abo Youssef El Soury,salads
226,Bazooka,salads
227,Malmo,pancakes
228,La Poire Cafe,pancakes
229,Nutopia,pancakes
230,Samiha,pancakes
231,Beano's Cafe,pancakes
232,dipndip,pancakes
233,Saber,family-favorites
234,DUKES,family-favorites
235,TGI Friday's,family-favorites
236,El Abd,family-favorites
237,Prego,family-favorites
238,KFC,tacos-&-quesadillas
239,El Balakona,tacos-&-quesadillas
240,Amo Hosny,tacos-&-quesadillas
241,Foods Jar,tacos-&-quesadillas
242,City Crepe Sheraton,tacos-&-quesadillas
243,Sushi Star,tacos-&-quesadillas
244,Flame,tacos-&-quesadillas
245,King Dragon,tacos-&-quesadillas
246,Hassouna,tacos-&-quesadillas
247,Abou El Sid,tacos-&-quesadillas
248,Legleisah,tacos-&-quesadillas
249,Pizza Land,tacos-&-quesadillas
250,Ne3ma,tacos-&-quesadillas
251,Arby's,tacos-&-quesadillas
252,Papa John's Pizza,tacos-&-quesadillas
253,Hardee's,tacos-&-quesadillas
254,TGI Friday's,tacos-&-quesadillas
255,Elmalky,tacos-&-quesadillas
256,Hawawshi El Hara2,tacos-&-quesadillas
257,Il Mulino,tacos-&-quesadillas
258,Pizza Hum,tacos-&-quesadillas
259,Boom Zone,tacos-&-quesadillas
260,El Diwan,tacos-&-quesadillas
261,Toro Sushi,tacos-&-quesadillas
262,Chef Potato,tacos-&-quesadillas
263,Just Chicken,tacos-&-quesadillas
264,Coco Di Papa,tacos-&-quesadillas
265,Happy Pizza,tacos-&-quesadillas
266,Noodles Street,tacos-&-quesadillas
267,Crepe House,tacos-&-quesadillas
268,Sushi Man,tacos-&-quesadillas
269,Burger Bros,tacos-&-quesadillas
270,Al Rehan,tacos-&-quesadillas
271,Freddy's,tacos-&-quesadillas
272,Al Rehan,tacos-&-quesadillas
273,Freddy's,tacos-&-quesadillas
274,El Dokkan,tacos-&-quesadillas
275,Yassin El Sharqawy,tacos-&-quesadillas
276,Gambari Afandi,tacos-&-quesadillas
277,Kebda & Sogo2,tacos-&-quesadillas
278,3al Fa7m,tacos-&-quesadillas
279,Tati,tacos-&-quesadillas
280,Chicken Safeer,tacos-&-quesadillas
281,La Pizza Alforno,tacos-&-quesadillas
282,Zesty Waffles,tacos-&-quesadillas
283,Dr Diet,tacos-&-quesadillas
284,Tiko's Fried Chicken and More,tacos-&-quesadillas
285,Garnell Sushi & Poke,tacos-&-quesadillas
286,Red Elephant,tacos-&-quesadillas
287,City Crepe,tacos-&-quesadillas
288,Zooba,tacos-&-quesadillas
289,Anas Chicken,tacos-&-quesadillas
290,Pizza Master,tacos-&-quesadillas
291,Shrimp House,tacos-&-quesadillas
292,Max Burgers,tacos-&-quesadillas
293,Alaska Sushi,tacos-&-quesadillas
294,Popcity,tacos-&-quesadillas
295,Burdogz,tacos-&-quesadillas
296,Abo El Ezz El Soury,tacos-&-quesadillas
297,Red Rooster,tacos-&-quesadillas
298,Buffalo Burger,tacos-&-quesadillas
299,Samiha,tacos-&-quesadillas
300,Kbda w Mokh El Sharkawy,tacos-&-quesadillas
301,Asmak Anwar El Hussin,tacos-&-quesadillas
302,Aleppo's Shawerma,tacos-&-quesadillas
303,Best Way,tacos-&-quesadillas
304,Wok & Cook,tacos-&-quesadillas
305,El Sweesy Fresh Fish,tacos-&-quesadillas
306,Domino's Pizza,tacos-&-quesadillas
307,Chicken & Ribs,tacos-&-quesadillas
308,Baladena,tacos-&-quesadillas
309,My El Qalioby,tacos-&-quesadillas
310,Bazooka,tacos-&-quesadillas
311,Roastery,tacos-&-quesadillas
312,ElDahan,tacos-&-quesadillas
313,Spicy Crepe El Sefarat,tacos-&-quesadillas
314,Diet House,tacos-&-quesadillas
315,Crepeton,tacos-&-quesadillas
316,Chunky's,tacos-&-quesadillas
317,Costa Coffee,tacos-&-quesadillas
318,Mega Sandwiches,tacos-&-quesadillas
319,Wienerwald,tacos-&-quesadillas
320,Munch & Shake,tacos-&-quesadillas
321,Abo Malek Grills,tacos-&-quesadillas
322,Pizza Hut,tacos-&-quesadillas
323,Smiley's Grill,tacos-&-quesadillas
324,Auntie Anne's,tacos-&-quesadillas
325,Burger King,tacos-&-quesadillas
326,PEKING,tacos-&-quesadillas
327,Haty El Sheikh,tacos-&-quesadillas
328,Broccar,tacos-&-quesadillas
329,Chicken Tikka,tacos-&-quesadillas
330,Prego,tacos-&-quesadillas
331,Abo Youssef El Soury,tacos-&-quesadillas
332,Majesty,tacos-&-quesadillas
333,Ibn AlSham,tacos-&-quesadillas
334,GAD,tacos-&-quesadillas
335,Abou Anas El Soury,tacos-&-quesadillas
336,Wafflicious,tacos-&-quesadillas
337,Abo Mazen El Soury,tacos-&-quesadillas
338,Butcher's Burger,tacos-&-quesadillas
339,Tom and Basal,tacos-&-quesadillas
340,Arabiata El Shabrawy,tacos-&-quesadillas
341,El Genany,tacos-&-quesadillas
342,DUKES,tacos-&-quesadillas
343,House of Cocoa,tacos-&-quesadillas
344,Espresso Lab,tacos-&-quesadillas
345,Caribou Coffee,tacos-&-quesadillas
346,La Casetta,tacos-&-quesadillas
347,Country Hills,tacos-&-quesadillas
348,El Haty,tacos-&-quesadillas
349,Beano's Cafe,tacos-&-quesadillas
350,Sultan Ayub,tacos-&-quesadillas
351,Mori Sushi & Grill,tacos-&-quesadillas
352,El Abd,tacos-&-quesadillas
353,El Menoufy El Asly,tacos-&-quesadillas
